Dataset Size,Model,Accuracy,Precision,Recall,F1
400,Logistic Regression,0.99,0.99,1.0,0.9949748743718593
400,Random Forest,0.99,0.99,1.0,0.9949748743718593
400,XGBoost,0.99,0.99,1.0,0.9949748743718593
700,Logistic Regression,0.9885714285714285,0.9941860465116279,0.9941860465116279,0.9941860465116279
700,Random Forest,0.9828571428571429,0.9828571428571429,1.0,0.9913544668587896
700,XGBoost,0.9885714285714285,0.9885057471264368,1.0,0.9942196531791907
1000,Logistic Regression,0.992,0.992,1.0,0.9959839357429718
1000,Random Forest,0.992,0.992,1.0,0.9959839357429718
1000,XGBoost,0.988,0.9919678714859438,0.9959677419354839,0.993963782696177
1250,Logistic Regression,0.9680511182108626,0.9678456591639871,1.0,0.9836601307189542
1250,Random Forest,0.9616613418530351,0.9616613418530351,1.0,0.9804560260586319
1250,XGBoost,0.9648562300319489,0.9647435897435898,1.0,0.9820554649265906
